nohup: ignoring input
============================================================
<class 'transformers.tokenization_dna.DNATokenizer'>
2 genes have N, so will be excluded
number of params: 241946
Start training
Epoch: [0]  [21500/36102]  eta: 0:20:58  accuracy: 0.5000 (0.5232)  precision: 0.0000 (0.1344)  recall: 0.0000 (0.1110)  F2: 0.0000 (0.1124)  specificity: 1.0000 (0.6732)  NPV: 0.5000 (0.5138)  loss: 0.6987 (0.6919)  time: 0.0830  data: 0.0010  max mem: 1291
Epoch: [0]  [22000/36102]  eta: 0:20:15  accuracy: 0.5000 (0.5234)  precision: 0.0000 (0.1330)  recall: 0.0000 (0.1097)  F2: 0.0000 (0.1111)  specificity: 1.0000 (0.6746)  NPV: 0.5000 (0.5140)  loss: 0.6852 (0.6919)  time: 0.0867  data: 0.0010  max mem: 1291
Epoch: [0]  [22500/36102]  eta: 0:19:32  accuracy: 0.5000 (0.5240)  precision: 0.0000 (0.1343)  recall: 0.0000 (0.1106)  F2: 0.0000 (0.1121)  specificity: 1.0000 (0.6750)  NPV: 0.5000 (0.5149)  loss: 0.6815 (0.6919)  time: 0.0895  data: 0.0056  max mem: 1291
Epoch: [0]  [23000/36102]  eta: 0:18:49  accuracy: 0.5000 (0.5242)  precision: 0.0000 (0.1360)  recall: 0.0000 (0.1117)  F2: 0.0000 (0.1133)  specificity: 1.0000 (0.6743)  NPV: 0.5000 (0.5153)  loss: 0.6948 (0.6918)  time: 0.0874  data: 0.0010  max mem: 1291
Epoch: [0]  [23500/36102]  eta: 0:18:06  accuracy: 0.5000 (0.5246)  precision: 0.0000 (0.1365)  recall: 0.0000 (0.1120)  F2: 0.0000 (0.1136)  specificity: 0.0000 (0.6746)  NPV: 0.0000 (0.5156)  loss: 0.6918 (0.6917)  time: 0.0786  data: 0.0011  max mem: 1291
Epoch: [0]  [24000/36102]  eta: 0:17:23  accuracy: 0.5000 (0.5245)  precision: 0.0000 (0.1359)  recall: 0.0000 (0.1112)  F2: 0.0000 (0.1129)  specificity: 1.0000 (0.6749)  NPV: 0.5000 (0.5155)  loss: 0.6884 (0.6917)  time: 0.0821  data: 0.0010  max mem: 1291
Epoch: [0]  [24500/36102]  eta: 0:16:40  accuracy: 0.5000 (0.5249)  precision: 0.0000 (0.1358)  recall: 0.0000 (0.1111)  F2: 0.0000 (0.1128)  specificity: 1.0000 (0.6755)  NPV: 0.5000 (0.5162)  loss: 0.7007 (0.6917)  time: 0.0862  data: 0.0010  max mem: 1291
Epoch: [0]  [25000/36102]  eta: 0:15:56  accuracy: 0.5000 (0.5246)  precision: 0.0000 (0.1354)  recall: 0.0000 (0.1105)  F2: 0.0000 (0.1122)  specificity: 1.0000 (0.6754)  NPV: 0.5000 (0.5160)  loss: 0.6983 (0.6917)  time: 0.0790  data: 0.0016  max mem: 1291
Epoch: [0]  [25500/36102]  eta: 0:15:13  accuracy: 0.5000 (0.5246)  precision: 0.0000 (0.1342)  recall: 0.0000 (0.1095)  F2: 0.0000 (0.1112)  specificity: 0.5000 (0.6766)  NPV: 0.5000 (0.5161)  loss: 0.6883 (0.6917)  time: 0.0847  data: 0.0010  max mem: 1291
Epoch: [0]  [26000/36102]  eta: 0:14:31  accuracy: 0.5000 (0.5251)  precision: 0.0000 (0.1346)  recall: 0.0000 (0.1096)  F2: 0.0000 (0.1114)  specificity: 0.5000 (0.6766)  NPV: 0.5000 (0.5167)  loss: 0.6900 (0.6916)  time: 0.1995  data: 0.1104  max mem: 1291
Epoch: [0]  [26500/36102]  eta: 0:13:47  accuracy: 0.5000 (0.5258)  precision: 0.0000 (0.1360)  recall: 0.0000 (0.1106)  F2: 0.0000 (0.1124)  specificity: 0.5000 (0.6764)  NPV: 1.0000 (0.5175)  loss: 0.6623 (0.6914)  time: 0.0846  data: 0.0013  max mem: 1291
